response,annotator1_score,annotator2_score,annotator3_score,empathy_score
"هنگامی که پروتکل را که می خواهید امتحان کنید انتخاب کرده اید ، لطفاً پروتکل را شروع کنید.پس از اتمام ، ممکن است ""ادامه"" را فشار دهید تا ادامه یابد.",1,2,2,2
آیا اتفاقی برای شما افتاده است؟,0,0,1,0
با تشکر از شما برای شرکت ، من واقعاً از آن قدردانی می کنم و تلاش های شما بسیار ارزشمند است.روز خوبی داشته باشید!,2,1,2,2
من از مشارکت شما سپاسگزارم.امیدوارم به زودی دوباره با شما کار کنم.,1,2,2,2
با تشکر از شما برای باز بودن ، من سعی می کنم بهترین راه برای کمک به شما را تعیین کنم و بدانم که تجدید نظر در مورد تروما چقدر سخت است.من می خواهم بدانم که آیا پروتکل 6 برای شما بسیار دردناک بوده است؟,2,2,2,2
متأسفم که این باعث نشده است که احساس بهتری داشته باشید ، بعضی اوقات ممکن است قبل از احساس بهتر ، پروتکل های مختلف را امتحان کنید.آیا دوست دارید مورد دیگری را امتحان کنید که امیدوارم برای شما بسیار مفیدتر باشد؟,2,2,2,2
با تشکر از شما برای آن ، شاید پروتکل 6 بتواند به شما در مقابله با این رویداد کمک کند ، اما قبل از اینکه بتوانم آن را توصیه کنم می خواهم مطمئن شوم که در گذشته تجربه بدی با آن نداشته اید.آیا اخیراً پروتکل 6 را امتحان کرده اید ، و اگر دارید ، آیا این احساسات دشوار از وقایع گذشته به وجود آمده است؟,2,1,2,2
متشکرم.در نتیجه احساسات فعلی خود ، آیا احساس نیاز به کنترل دیگران دارید؟,1,2,2,2
من فکر می کنم اگر در مورد آنچه باعث شده شما چنین احساسی داشته باشید ، ممکن است کمک کند.آیا این یک رویداد خاص بود که شما را ناراحت کرد؟,2,2,2,2
"لطفاً این کار را انجام دهید.وقتی تمام شد ، فقط به ""ادامه"" ضربه بزنید.",0,0,1,0
از پاسخ شما بسیار متشکرم.من اکنون دوست دارم از شما بپرسم که آیا خود را قربانی اوضاع می بینید و شخص دیگری مقصر احساسات دردناک شما است؟,2,1,2,2
آیا این اخیر بود یا در گذشته اتفاق افتاد؟,0,0,1,0
مسئولیت آنچه در زندگی شما اتفاق می افتد چگونه است.آیا احساس می کنید همیشه کسی هستید که مقصر چیزهایی هستید که اشتباه می شود؟,1,0,2,1
آیا این ناشی از یک رویداد خاص بود؟,0,0,1,0
بعضی اوقات وقتی عصبانی می شویم ، به این دلیل است که ما می خواهیم به مردم کمک کنیم ، اما احساس می کنیم نمی توانیم یا آنها اجازه نمی دهیم.آیا احساس می کنید کسی در زندگی شما وجود دارد که می خواهید نجات یا نجات دهید؟,2,1,2,2
"لطفا سعی کنید پروتکل را در زمان خود به پایان برسانید.هنگامی که با آن تمام شد ، لطفاً برگردید و به ""ادامه"" ضربه بزنید ، بنابراین می توانیم ارزیابی کنیم که چگونه این کار انجام شد.",2,2,2,2
آیا این اتفاق مدت ها پیش اتفاق افتاده است ، یا اخیراً؟,0,1,1,1
ممنون که به آن پاسخ دادیددر حین مکالمه ، آیا شما معمولاً دیدگاه دیگران را در نظر می گیرید؟,1,1,2,1
وقتی چیزی پیش می رود ، آیا همیشه به خودتان سرزنش می کنید؟,0,0,1,0
آیا می توانید به من بگویید که آیا موقعیت های خاصی وجود دارد که باعث می شود شما از این طریق احساس کنید؟,1,2,2,2
متشکرم.آیا نگران هرگونه مسائل شخصی بین شما و افراد نزدیک به خود هستید؟,1,1,2,1
این کاملاً طبیعی است ، اگرچه البته آرزو می کنم تجربه مثبت تری برای شما داشته باشد.چطور در مورد یکی دیگر تلاش می کنیم؟,2,2,2,2
با تشکر ، داشتن این مکالمه با شما بسیار عالی بوده است.امیدوارم به زودی دوباره ملاقات کنیم.,2,2,2,2
با تشکر از انجام این کارآیا این تفاوت ایجاد کرده است؟آیا الان احساس بهتری دارید یا بدتر؟,1,2,1,1
آیا می گویید که وقتی در مکالمات قبلی بوجود آمد ، واقعاً می توانید دیدگاه های دیگری را در نظر بگیرید؟,1,0,1,1
آیا در مورد دیدگاه ها و دیدگاه های مختلف فکر کرده اید که می تواند دیدگاه شما را در مورد وضعیت فعلی شما تغییر دهد؟,1,0,1,1
آیا اخیراً پروتکل 6 را امتحان کرده اید ، و اگر دارید ، آیا این احساسات دشوار از وقایع گذشته به وجود آمده است؟,1,1,0,1
من می فهمم ، متشکرمآیا احساس می کنید قربانی رفتار دیگران هستید؟,1,1,1,1
آیا همیشه احساس می کنید که مسئول چیزهایی هستید که در واقع خارج از کنترل شما هستند؟,1,0,1,1
همانطور که ممکن است بدانید ، از پروتکل 6 می توان برای بررسی وقایع مانند این استفاده کرد.آیا تجربه ای با پروتکل 6 داشته اید؟و اگر چنین است ، آیا متوجه شدید که احساسات دشواری را به سطحی که با وقایع گذشته همراه بود ، به ارمغان آورد؟,2,1,2,2
اکنون که پروتکل به پایان رسیده است ، آیا احساس دیگری نسبت به آنچه از قبل احساس کرده اید احساس می کنید؟,1,0,1,1
خیلی ممنونم که به من باز شد و به من گفتی چه احساسی دارید.خوشحالم که می توانستیم این گپ را داشته باشیم و اگر به من احتیاج دارید اینجا هستم.,2,2,2,2
از آنچه به من گفتید ، به نظر می رسد که احساس می کنید {} ، آیا این درست است؟,0,1,1,1
اکنون ، کاملاً طبیعی است که بلافاصله پس از انجام این کار احساس بهتری داشته باشید یا بدتر شوید.چگونه می گویید بعد از تکمیل پروتکل احساس می کنید؟,1,2,2,2
آیا احساس می کنید همیشه خود را دلیل اشتباه اتفاقات می کنید؟,0,0,0,0
من می توانم ببینم که ممکن است احساس کنید {} ، آیا این دقیق است؟,1,2,2,2
آیا احساس می کنید اینجا قربانی هستید؟,0,0,1,0
فکر می کنید ممکن است رفتار کنترل کننده نسبت به شخص دیگری را نشان دهید؟,1,1,1,1
متاسفم که می شنوم احساس اضطراب می کنید.آیا اتفاقی برای ایجاد این احساسات اضطراب رخ داده است؟,2,1,2,2
خوب ، نگران نباشید ، من چند مورد دیگر دارم که ممکن است برای شما بهتر باشد.آیا دوست دارید یک مورد دیگر را امتحان کنید؟,1,2,1,1
فکر می کنید همیشه مقصر چیزهایی هستید که تقصیر شما نیستند؟,1,0,1,1
شما گفتید که احساس اضطراب دارید ، تعجب می کنم که آیا می توانید به خاطر داشته باشید که آیا احساسات قوی دیگری نسبت به شخص دیگری احساس کرده اید.آیا احساس می کنید که هر یک از این موارد ممکن است در مورد آنچه اخیراً احساس کرده اید صدق کند:,2,2,2,2
"لطفاً اطلاعات پروتکل را بخوانید ، هنگامی که احساس می کنید درک کرده اید و آماده شروع هستید ، سعی کنید از طریق آن کار کنید.پس از اتمام ، لطفاً ""ادامه"" را فشار دهید.",1,2,2,2
اوه من از شنیدن این حرف بسیار خوشحالم!احساس خوشبختی/محتوا چیزی است که همه ما می خواهیم حفظ کنیم ، بنابراین ممکن است یک پروتکل درمانی را که ممکن است برای تقویت و حفظ آن احساس مثبت استفاده کنید ، توصیه کنم؟,2,2,2,2
آیا اتفاقی افتاده است که این احساس را به وجود آورد؟,0,0,1,0
با عرض پوزش از شنیدن مشکلات شما ، من همیشه برای کمک به اینجا هستم.آیا در حال حاضر با هر یک از عزیزانتان مشکل دارید؟,2,2,2,2
آیا برای اتفاقاتی که اتفاق می افتد مالکیت می گیرید یا احساس می کنید دیگران مقصر احساسات منفی شما هستند؟,0,1,2,1
این مایه تاسف استآیا پروتکل 6 را امتحان کرده اید و آیا همان احساسات دشواری را که نسبت به این رویداد احساس کرده اید ، برانگیخته است؟,1,0,0,0
آیا فکر کردید که چگونه دیگران ممکن است اوضاع را ببینند؟,0,1,1,1
آیا ترجیح می دهید در روابط رهبری کنید؟,0,0,1,0
چند سال پیش اتفاق افتاد ، اخیر بود یا دور؟,0,0,0,0
آیا همیشه مایل به شنیدن توصیه های دیگران هستید؟,0,0,0,0
هر پروتکل برای همه کار نمی کند ، و این اشکالی ندارد ، من توصیه می کنم که تسلیم نشوید و دوباره امتحان کنید.آیا دوست دارید یکی دیگر را با هم امتحان کنید؟,2,2,2,2
آیا اتفاقاً پروتکل 11 را امتحان کردید و فکر می کنید به همین دلیل است که شما این احساسات منفی را دارید؟,1,2,2,2
آیا احساس می کنید همیشه وقتی یک وضعیت اشتباه پیش می رود ، مقصر هستید؟,1,2,1,1
آیا غم و اندوه شما باعث می شود که شما نسبت به کسی دستکاری شوید؟آیا ممکن است این باشد که شما سعی می کنید کسی را انجام دهد یا چیزی بگوید تا احساس بهتری داشته باشد؟,1,2,2,2
من فکر می کنم پروتکل 11 ممکن است کمک کند ، اما من می خواهم قبل از پیشنهاد آن کمی بیشتر تحقیق کنم.اگر اخیراً پروتکل 11 را امتحان کرده اید ، می توانید به من بگویید که آیا این احساسات غیرقابل کنترل را به دلیل وقایع قدیمی به وجود آورده است؟,2,1,2,2
با توجه به وضعیت شما ، من می خواهم این پروتکل ها را برای شما توصیه کنم.لطفاً به من اطلاع دهید که کدام پروتکل را ترجیح می دهید با آن شروع کنید.,1,0,2,1
آیا می توانید به من بگویید که آیا این رویداد یا وقایع اخیراً اتفاق افتاده است یا در گذشته؟,1,0,1,1
در مکالمات گذشته ، آیا واقعاً تلاش کرده اید که دیدگاه دیگران را درک کنید؟,0,0,0,0
متاسفم که آن را شنیدمچه زمانی این اتفاق افتاد ، اخیراً یا مدتی برگشت؟,1,1,1,1
آیا چیزی شبیه به موارد زیر نسبت به شخص دیگری احساس کرده اید:,0,0,0,0
بنابراین ، بعد از گذراندن پروتکل ، بهتر یا بدتر ، اکنون چه احساسی دارید؟,0,0,1,0
آیا شما احساس مسئولیت شخص دیگری می کنید ، تا جایی که ممکن است سعی در تغییر یا اصلاح رفتار آنها داشته باشید؟,1,1,2,1
امیدوارم بتوانید کنار بیایید.آیا اگر از شما بپرسم که آیا یک رویداد خاص یا مسئله باعث اضطراب شما شده است ، فکر می کنید؟,2,2,2,2
اگر ممکن است بپرسم ، در حال حاضر در امور شخصی خود مشکلی دارید؟,2,1,1,1
"من دوست دارم اکنون پروتکل را شروع کنید.سپس وقتی تمام شد ، فقط ""ادامه"" را فشار دهید.",0,0,0,0
با تشکر از شما ، من بسیار قدردانی می کنم که شما در این فعالیت شرکت کردید.من مشتاقانه منتظر دیدن شما در آینده نزدیک هستم.,2,1,2,2
وقتی همه چیز اشتباه می شود ، آیا همیشه فکر می کنید مقصر هستید؟,0,1,0,0
شما واقعاً خوب کار می کنید ، من می خواهم به شما کمک کنم احساس بهتری داشته باشید و سعی کنید وضعیت خود را درک کنید.اشکالی ندارد که چند سوال دیگر بپرسید؟,2,2,2,2
آیا در حال حاضر مانند هرگونه بحران شخصی احساس می شود که اتفاقات بزرگی رخ می دهد؟,0,0,1,0
آیا اخیراً پروتکل 11 را امتحان کرده اید و شاید دریافتید که این به روشی که امیدوار بودید کمکی نمی کند؟,1,2,2,2
آیا احساس می کنید تحت تأثیر منفی شخص دیگری قرار گرفته اید؟,1,0,2,1
آیا به نظر می رسد که مقصر بودن مشکلات و احساسات خود را بر دیگران آسان یا طبیعی می دانید؟,0,1,1,1
من در آینده مشتاقانه منتظر تعامل های مثمر ثمر با شما هستم.,1,0,0,0
من می بینم ، شاید غم و اندوه شما به دلیل عدم توانایی به دست آوردن آنچه شما نیاز دارید یا از دیگران انتظار دارید ، ایجاد شود.آیا ممکن است این باشد که شما سعی در کنترل کسی دارید اما نمی توانید ، و این باعث ناامیدی شما می شود؟,2,2,2,2
آیا اتفاقی که اخیراً افتاد یا مدتها پیش اتفاق افتاد؟,0,1,1,1
