,gender,age,emotion,base,rewriting,semantic,transformation
0,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,متاسفم که وقتی می شنوید احساس ناراحتی می کنید.آیا چیز خاصی وجود دارد که باعث شود این احساس را داشته باشید؟,0,HIGH
1,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا اتفاقی افتاده است که باعث ناراحتی شما شود؟اگر مهم نیستید ، لطفاً به من بگویید.,0,HIGH
2,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,متاسفم که این را شنیدمآیا چیز خاصی وجود دارد که باعث این احساس شود؟,0,HIGH
3,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,متشکرم.آیا چیزی وجود دارد که شما را ناراحت کند؟,0,HIGH
4,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا این احساس باعث می شود؟,0,HIGH
5,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,متاسفم که این را شنیدمآیا می توانید یک رویداد خاص پیدا کنید که این احساس را به شما بدهد؟,0,HIGH
6,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا احساسات شما ناشی از چیزهای خاص است؟,0,HIGH
7,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,می بینم.آیا یک رویداد خاص اتفاق می افتد؟,0,HIGH
8,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,متاسفم که این را شنیدمآیا به دلیل یک رویداد است؟اگر چنین است ، امیدوارم که این برای شما خیلی دشوار نباشد.,0,HIGH
9,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,پشیمان می شوم که وقتی می شنوید احساس ناراحتی می کنید.آیا می دانید چه چیزی باعث این غم و اندوه شده است؟ آیا این یک رویداد خاص است؟,0,HIGH
10,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,اگر به اشتراک گذاری ندارید ، آیا این را به دلیل یک رویداد خاص احساس می کنید؟,0,HIGH
